 0.0	1.0000	-0.4724
 0.1	0.8606	10.6142
 0.2	0.6624	11.2937
 0.3	0.4354	9.2332
 0.4	0.2071	10.7806
 0.5	0.0000	28.6659
 0.6	-0.1696	36.9147
 0.7	-0.2919	34.9798
 0.8	-0.3635	42.3462
 0.9	-0.3867	43.5851
 1.0	-0.3679	65.7012
 1.1	-0.3166	58.1095
 1.2	-0.2437	68.4970
 1.3	-0.1602	79.6963
 1.4	-0.0762	103.3456
 1.5	-0.0000	64.4445
 1.6	0.0624	70.9535
 1.7	0.1074	88.9645
 1.8	0.1337	127.8463
 1.9	0.1422	138.7358
 2.0	0.1353	117.1627
 2.1	0.1165	121.0997
 2.2	0.0896	120.7036
 2.3	0.0589	161.5189
 2.4	0.0280	159.3154
 2.5	0.0000	160.4614
 2.6	-0.0230	196.3039
 2.7	-0.0395	181.1938
 2.8	-0.0492	152.3027
 2.9	-0.0523	235.4453
 3.0	-0.0498	217.2635
 3.1	-0.0428	241.1475
 3.2	-0.0330	269.4663
 3.3	-0.0217	205.1942
 3.4	-0.0103	240.9715
 3.5	-0.0000	244.9650
 3.6	0.0084	253.8911
 3.7	0.0145	290.0914
 3.8	0.0181	328.7746
 3.9	0.0193	271.0024
 4.0	0.0183	355.2792
 4.1	0.0158	269.4479
 4.2	0.0121	316.5746
 4.3	0.0080	387.3619
 4.4	0.0038	355.9162
 4.5	0.0000	324.6157
 4.6	-0.0031	323.0133
 4.7	-0.0053	366.0206
 4.8	-0.0067	398.0103
 4.9	-0.0071	353.5961
 5.0	-0.0067	399.5342
 5.1	-0.0058	457.0264
 5.2	-0.0045	371.4970
 5.3	-0.0029	404.1378
 5.4	-0.0014	495.3901
 5.5	-0.0000	532.6922
 5.6	0.0011	471.4616
 5.7	0.0020	428.3763
 5.8	0.0024	496.5465
 5.9	0.0026	552.9943
 6.0	0.0025	520.0850
 6.1	0.0021	550.0802
 6.2	0.0016	522.3833
 6.3	0.0011	642.1248
 6.4	0.0005	615.1991
 6.5	-0.0000	525.8082
 6.6	-0.0004	669.8011
 6.7	-0.0007	628.4178
 6.8	-0.0009	594.7098
 6.9	-0.0010	628.9323
 7.0	-0.0009	613.3521
 7.1	-0.0008	685.7894
 7.2	-0.0006	618.1356
 7.3	-0.0004	635.0197
 7.4	-0.0002	654.0838
 7.5	-0.0000	687.3697
 7.6	0.0002	752.1780
 7.7	0.0003	693.0443
 7.8	0.0003	690.1176
 7.9	0.0004	805.9592
 8.0	0.0003	866.4802
 8.1	0.0003	902.6535
 8.2	0.0002	816.2239
 8.3	0.0001	779.8272
 8.4	0.0001	798.8106
 8.5	-0.0000	894.4261
 8.6	-0.0001	950.6365
 8.7	-0.0001	977.2073
 8.8	-0.0001	963.0216
 8.9	-0.0001	908.2366
 9.0	-0.0001	983.3501
 9.1	-0.0001	945.8954
 9.2	-0.0001	1003.1806
 9.3	-0.0001	1042.1487
 9.4	-0.0000	1096.3284
 9.5	-0.0000	1036.2865
 9.6	0.0000	1002.6847
 9.7	0.0000	1058.3547
 9.8	0.0000	1126.6230
 9.9	0.0000	1005.0876
