0.0	0.4006045290
0.1	3.5347188021
0.2	3.6331527154
0.3	3.3251584614
0.4	3.5590912548
0.5	5.5700984997
0.6	6.2785706618
0.7	6.1199416624
0.8	6.7033776287
0.9	6.7964785264
1.0	8.2812392266
1.1	7.8040441258
1.2	8.4500815974
1.3	9.0946167214
1.4	10.3227184687
1.5	8.2041941037
1.6	8.5956565221
1.7	9.5948995173
1.8	11.4556065985
1.9	11.9242995760
2.0	10.9761415478
2.1	11.1552506907
2.2	11.1373646221
2.3	12.8492609124
2.4	12.7627561695
2.5	12.8078169806
2.6	14.1444269122
2.7	13.5971039461
2.8	12.4834260025
2.9	15.4718696870
3.0	14.8700928857
3.1	15.6558067358
3.2	16.5388355031
3.3	14.4567065775
3.4	15.6501616022
3.5	15.7777428180
3.6	16.0592192455
3.7	17.1532220935
3.8	18.2495627415
3.9	16.5853840309
4.0	18.9640179848
4.1	16.5382782594
4.2	17.9110790674
4.3	19.7942143480
4.4	18.9808571387
4.5	18.1348893883
4.6	18.0905098231
4.7	19.2459776981
4.8	20.0621385192
4.9	18.9194547336
5.0	20.1001864698
5.1	21.4863144469
5.2	19.3881455970
5.3	20.2146935500
5.4	22.3633429662
5.5	23.1842013006
5.6	21.8204672396
5.7	20.8071570558
5.8	22.3892426377
5.9	23.6189370753
6.0	22.9100733609
6.1	23.5570326055
6.2	22.9602918870
6.3	25.4395080216
6.4	24.9036027112
6.5	23.0349223301
6.6	25.9788006067
6.7	25.1681271951
6.8	24.4879228504
6.9	25.1783655052
7.0	24.8664184737
7.1	26.2852871568
7.2	24.9626086117
7.3	25.2992011273
7.4	25.6739302631
7.5	26.3153861065
7.6	27.5213379724
7.7	26.4231840859
7.8	26.3676410242
7.9	28.4832604803
8.0	29.5281933577
8.1	30.1354115514
8.2	28.6631773497
8.3	28.0200030304
8.4	28.3572875211
8.5	29.9983863569
8.6	30.9224399177
8.7	31.3497433212
8.8	31.1223445905
8.9	30.2280433528
9.0	31.4477018396
9.1	30.8455720831
9.2	31.7618692830
9.3	32.3703292297
9.4	33.1977433988
9.5	32.2795299465
9.6	31.7540506498
9.7	32.6200259547
9.8	33.6515083150
9.9	31.7919171527
